n0TricksPlayed,hCP0P3,hCP1P3,hCP2P3,hCP3P3,hCP4P3,hCP5P3,hCP6P3,hCP7P3,hCP8P3,hCP9P3,hCP10P3,hCP11P3,hCP12P3,startPNo,trickCard0,trickCard1,trickCard2,trickCard3
5,10,14,17,18,21,22,31,32,35,-100,-100,-100,-100,0,49,41,50,14
6,31,32,35,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,28,31,-100,-100
7,17,18,21,22,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,15,23,17,-100
8,10,18,21,22,32,35,-100,-100,-100,-100,-100,-100,-100,0,46,42,1,22
9,10,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,11,2,6,10
10,18,21,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,24,19,20,18
11,21,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,25,4,27,21
12,32,35,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,5,47,39,35
13,32,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,16,48,38,32
1,40,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,3,40,-100,-100,-100
2,41,43,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,52,41,-100,-100
3,5,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,6,5,-100,-100
4,14,15,17,22,27,28,29,35,38,43,-100,-100,-100,1,13,4,14,-100
5,15,17,22,27,28,29,35,38,43,-100,-100,-100,-100,1,11,1,15,-100
6,17,22,27,28,29,35,38,43,-100,-100,-100,-100,-100,1,7,44,17,-100
7,27,28,29,35,38,-100,-100,-100,-100,-100,-100,-100,-100,1,39,32,27,-100
8,43,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,45,51,43,-100
9,22,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,16,22,-100,-100
10,28,29,35,38,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,33,37,28,-100
11,29,35,38,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,25,29,-100,-100
12,35,38,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,18,35,-100,-100
13,38,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,36,49,47,38
1,44,45,47,51,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,40,43,46,51
2,6,8,29,32,33,38,44,45,47,-100,-100,-100,-100,3,29,-100,-100,-100
3,44,45,47,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,50,47,-100,-100
4,6,8,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,13,2,9,8
5,6,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,3,10,12,6
6,20,21,22,32,33,38,44,45,-100,-100,-100,-100,-100,2,1,20,-100,-100
7,44,45,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,48,17,15,44
8,21,22,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,18,16,19,21
9,22,32,33,38,45,-100,-100,-100,-100,-100,-100,-100,-100,3,32,-100,-100,-100
10,45,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,49,27,11,45
11,33,38,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,39,28,5,33
12,22,38,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,41,25,14,22
13,38,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,24,34,23,38
1,52,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,40,47,50,52
2,2,5,10,30,31,34,36,-100,-100,-100,-100,-100,-100,3,2,-100,-100,-100
3,30,31,34,36,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,27,35,34,-100
4,30,31,36,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,37,46,38,36
5,5,10,14,15,16,19,23,30,31,-100,-100,-100,-100,2,41,14,-100,-100
6,30,31,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,32,22,28,30
7,15,16,19,23,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,20,18,25,15
8,5,10,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,13,5,-100,-100
9,10,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,9,10,-100,-100
10,16,19,23,31,-100,-100,-100,-100,-100,-100,-100,-100,-100,3,16,-100,-100,-100
11,19,23,31,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,48,19,-100,-100
12,23,31,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,51,45,23,-100
13,31,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,11,1,31,-100
1,42,48,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,40,44,41,48
2,1,2,4,5,6,7,13,30,32,42,-100,-100,-100,3,42,-100,-100,-100
3,30,32,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,29,34,32,-100
4,30,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,39,30,-100,-100
5,1,2,4,5,6,7,13,-100,-100,-100,-100,-100,-100,2,10,1,-100,-100
